question_id,dense_mrr,sparse_mrr,hybrid_mrr
q_9099e6,1.0,1.0,1.0
q_88b3fe,0.0,1.0,0.2
q_34bf54,1.0,1.0,1.0
q_b9467d,0.3333333333333333,1.0,1.0
q_75cd31,0.2,1.0,1.0
q_102c01,1.0,1.0,1.0
q_800c07,1.0,1.0,1.0
q_e33bd6,1.0,1.0,1.0
q_c85803,1.0,1.0,1.0
q_ae3afa,1.0,0.25,0.5
q_59243f,1.0,1.0,1.0
q_80bacc,1.0,1.0,1.0
q_fcf169,1.0,1.0,1.0
q_248683,1.0,1.0,1.0
q_f6af41,0.125,1.0,0.3333333333333333
q_e4ceda,1.0,1.0,1.0
q_5c097e,0.5,1.0,0.5
q_a15d46,1.0,1.0,1.0
q_a48916,1.0,1.0,1.0
q_c4ca8b,1.0,1.0,1.0
q_fda66c,1.0,1.0,1.0
q_07a81c,1.0,1.0,1.0
q_59ebc5,1.0,1.0,1.0
q_de25f0,1.0,1.0,1.0
q_3d3038,1.0,1.0,1.0
q_28e44f,1.0,1.0,1.0
q_6bbd25,0.3333333333333333,1.0,1.0
q_4d338d,1.0,1.0,1.0
q_44a773,1.0,1.0,1.0
q_d2abbb,1.0,1.0,1.0
q_0e86fa,0.5,1.0,1.0
q_3e0d70,1.0,1.0,1.0
q_a78522,1.0,1.0,1.0
q_cc2c46,1.0,1.0,1.0
q_b78628,0.5,1.0,1.0
q_e19619,1.0,1.0,1.0
q_a0ef01,1.0,1.0,1.0
q_f50741,1.0,1.0,1.0
q_8484e1,1.0,1.0,1.0
q_264447,1.0,1.0,1.0
q_ae8aff,0.125,1.0,1.0
q_d92ecc,1.0,1.0,1.0
q_b7564d,1.0,1.0,1.0
q_6d6777,0.3333333333333333,0.0,0.2
q_7a0222,1.0,1.0,1.0
q_c96bf5,1.0,1.0,1.0
q_948e93,1.0,1.0,1.0
q_4e3382,1.0,1.0,1.0
q_10b7f5,1.0,1.0,1.0
q_b5c4af,1.0,0.5,1.0
q_30575e,1.0,1.0,1.0
q_f8923c,0.3333333333333333,1.0,1.0
q_210f37,1.0,0.3333333333333333,1.0
q_d5b102,1.0,1.0,1.0
q_933351,1.0,1.0,1.0
q_ef8dde,0.3333333333333333,1.0,0.3333333333333333
q_520701,1.0,1.0,1.0
q_058201,1.0,1.0,1.0
q_649494,1.0,1.0,1.0
q_743a5c,0.0,0.14285714285714285,0.0
q_00f2ff,1.0,1.0,1.0
q_3808de,1.0,1.0,1.0
q_4dd319,1.0,0.5,1.0
q_b0284c,1.0,1.0,1.0
q_e001a2,1.0,1.0,1.0
q_9d2a69,0.0,1.0,0.3333333333333333
q_a30f2c,1.0,1.0,1.0
q_456008,0.5,1.0,0.3333333333333333
q_2c8a58,1.0,1.0,1.0
q_b235c5,1.0,1.0,1.0
q_8a742b,0.25,1.0,0.5
q_34107e,0.3333333333333333,1.0,0.5
q_959dcd,1.0,1.0,1.0
q_5072e0,0.5,1.0,1.0
q_1fdfd1,1.0,1.0,1.0
q_94d138,0.5,1.0,1.0
q_833364,0.0,0.16666666666666666,0.0
q_47dbb8,1.0,1.0,1.0
q_56fe34,1.0,1.0,1.0
q_f621b8,1.0,1.0,1.0
q_a1e0aa,1.0,0.3333333333333333,0.5
q_a166d6,1.0,1.0,1.0
q_802aba,1.0,1.0,1.0
q_e91776,0.5,1.0,1.0
q_5cb1c3,1.0,1.0,1.0
q_b93b66,1.0,1.0,1.0
q_227a9f,1.0,1.0,1.0
q_b2b6b5,1.0,1.0,1.0
q_23ac27,1.0,1.0,1.0
q_2e817e,1.0,1.0,1.0
q_a6eafe,1.0,1.0,1.0
q_f7cf63,1.0,1.0,1.0
q_3aed9a,1.0,1.0,1.0
q_6083fc,1.0,1.0,1.0
q_e1a6be,0.5,1.0,1.0
q_ceef78,1.0,1.0,1.0
q_6b5938,1.0,1.0,1.0
q_2bfcf6,1.0,1.0,1.0
q_ef87ee,1.0,1.0,1.0
q_09b1a2,1.0,1.0,1.0
